"filename", "language", "Dart", "Groovy", "Swift", "Properties", "XML", "JSON", "C++", "HTML", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 78, 17, 143
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 15, 5, 39
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 5, 24
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 16, 72
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 10, 44
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 2, 17
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 10, 66
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 6, 20
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 24, 55, 289
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 31, 24, 103
"Total", "-", 3117, 71, 71, 8, 498, 12712, 556, 19, 76, 16, 593, 596, 18333
